10	92	3
10	111	1
10	119	1
10	153	1
10	220	1
10	329	1
10	341	1
10	589	3
10	673	1
10	684	1
10	692	1
10	830	1
10	914	1
10	979	5
10	1026	6
10	1027	1
10	1061	1
10	1212	2
10	1290	2
10	1621	11
10	1625	5
10	1636	1
10	1764	12
10	1787	1
10	1800	1
10	2123	1
10	2172	7
10	2354	7
10	2365	15
10	2498	1
10	2500	1
10	2618	2
10	2683	1
10	2745	2
10	2783	3
10	2846	1
10	2857	1
10	2939	4
10	2969	3
10	3258	2
10	3488	1
10	3704	1
10	3761	1
10	3780	2
10	3783	4
10	3789	1
10	3811	1
10	3857	3
10	3934	1
10	3967	1
10	3971	1
10	4225	3
10	4236	2
10	4279	2
10	4435	1
10	4496	2
10	4513	3
10	4535	1
10	4604	1
10	4609	1
10	4685	7
10	4799	1
10	5281	1
10	5405	6
10	5408	1
10	5422	1
10	5438	33
10	5677	1
10	5825	1
10	5860	1
10	5931	2
10	5984	1
10	6022	1
10	6032	1
10	6051	1
10	6157	1
10	6454	1
10	6535	1
10	6536	1
10	6756	6
10	6764	13
10	6893	2
10	6917	7
10	7012	5
10	7060	1
10	7088	1
10	7343	1
10	7573	1
10	7580	1
10	7738	2
10	8139	6
10	8222	1
10	8391	3
10	8395	9
10	8396	5
10	8408	2
10	8435	3
10	8437	38
10	8438	2
10	8638	4
10	8651	1
10	8657	1
10	8763	1
10	8854	20
10	8885	1
10	8904	15
10	8905	9
10	8960	1
10	8978	1
10	8993	1
10	9069	14
10	9159	1
10	9261	1
10	9375	1
10	9616	1
10	10138	6
10	10139	2
10	10244	5
10	10266	4
10	10492	1
10	10555	2
10	10717	1
10	10785	1
10	10839	2
10	10929	1
10	11054	1
10	11074	1
10	11105	2
10	11113	1
10	11198	3
10	11346	1
10	11966	2
10	12103	2
10	12107	4
10	12139	1
10	12437	1
10	12739	2
10	13091	1
10	13113	2
10	13548	1
10	13580	2
10	13652	2
10	13782	1
10	13796	1
10	13799	1
10	14028	2
10	14346	3
10	14626	2
10	14672	1
10	14722	3
10	14767	3
10	14947	1
10	15152	1
10	15197	1
10	15220	2
10	15346	7
10	15551	1
10	15602	3
10	15641	4
10	15642	1
10	15733	2
10	15750	1
10	15900	1
10	16034	1
10	16112	2
10	16116	2
10	16141	1
10	16181	8
10	16380	1
10	16397	1
10	16398	1
10	16438	1
10	16694	1
10	16718	1
10	16840	1
10	16988	1
10	17013	1
10	17024	5
10	17119	4
10	17161	2
10	17166	2
10	17167	6
10	17183	1
10	17216	6
10	17254	1
10	17311	1
10	17340	3
10	17497	17
10	17500	1
10	17520	1
10	17695	1
10	17827	1
10	17930	1
10	18078	1
10	18138	1
