#;nome-taxon;autoria;ano;ordem;subordem;infraordem;parvordem;superfamilia;familia;subfamilia;genero;especie;nome_vernaculo
692;Leucochloris albicollis;Vieillot;1818;Apodiformes;;;;;Trochilidae;Trochilinae;Leucochloris;albicollis;beija-flor-de-papo-branco
700;Chionomesa lactea;Lesson;1832;Apodiformes;;;;;Trochilidae;Trochilinae;Chionomesa;lactea;beija-flor-de-peito-azul
638;Stephanoxis loddigesii;Gould;1831;Apodiformes;;;;;Trochilidae;Trochilinae;Stephanoxis;loddigesii;beija-flor-de-topete-azul
637;Stephanoxis lalandi;Vieillot;1818;Apodiformes;;;;;Trochilidae;Trochilinae;Stephanoxis;lalandi;beija-flor-de-topete-verde
594;Anthracothorax nigricollis;Vieillot;1817;Apodiformes;;;;;Trochilidae;Polytminae;Anthracothorax;nigricollis;beija-flor-de-veste-preta
593;Anthracothorax viridigula;Boddaert;1783;Apodiformes;;;;;Trochilidae;Polytminae;Anthracothorax;viridigula;beija-flor-de-veste-verde
705;Hylocharis chrysura;Shaw;1812;Apodiformes;;;;;Trochilidae;Trochilinae;Hylocharis;chrysura;beija-flor-dourado
617;Heliodoxa aurescens;Gould;1846;Apodiformes;;;;;Trochilidae;Lesbiinae;Heliodoxa;aurescens;beija-flor-estrela
568;Colibri delphinae;Lesson;1839;Apodiformes;;;;;Trochilidae;Polytminae;Colibri;delphinae;beija-flor-marrom
671;Thalaphorus chlorocercus;Gould;1866;Apodiformes;;;;;Trochilidae;Trochilinae;Thalaphorus;chlorocercus;beija-flor-pintado
502;Florisuga fusca;Vieillot;1817;Apodiformes;;;;;Trochilidae;Florisuginae;Florisuga;fusca;beija-flor-preto
505;Ramphodon naevius;Dumont;1818;Apodiformes;;;;;Trochilidae;Phaethornithinae;Ramphodon;naevius;beija-flor-rajado
710;Chlorestes cyanus;Vieillot;1818;Apodiformes;;;;;Trochilidae;Trochilinae;Chlorestes;cyanus;beija-flor-roxo
618;Heliodoxa rubricauda;Boddaert;1783;Apodiformes;;;;;Trochilidae;Lesbiinae;Heliodoxa;rubricauda;beija-flor-rubi
704;Hylocharis sapphirina;Gmelin;1788;Apodiformes;;;;;Trochilidae;Trochilinae;Hylocharis;sapphirina;beija-flor-safira
664;Eupetomena macroura;Gmelin;1788;Apodiformes;;;;;Trochilidae;Trochilinae;Eupetomena;macroura;beija-flor-tesoura
648;Thalurania furcata;Gmelin;1788;Apodiformes;;;;;Trochilidae;Trochilinae;Thalurania;furcata;beija-flor-tesoura-verde
585;Polytmus theresiae;Da Silva Maia;1843;Apodiformes;;;;;Trochilidae;Polytminae;Polytmus;theresiae;beija-flor-verde
707;Elliotomyia chionogaster;Tschudi;1845;Apodiformes;;;;;Trochilidae;Trochilinae;Elliotomyia;chionogaster;beija-flor-verde-e-branco
591;Chrysolampis mosquitus;Linnaeus;1758;Apodiformes;;;;;Trochilidae;Polytminae;Chrysolampis;mosquitus;beija-flor-vermelho
571;Colibri coruscans;Gould;1846;Apodiformes;;;;;Trochilidae;Polytminae;Colibri;coruscans;beija-flor-violeta
3773;Pitangus sulphuratus;Linnaeus;1766;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Pitangus;sulphuratus;bem-te-vi
3803;Myiozetetes luteiventris;Sclater;1858;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiozetetes;luteiventris;bem-te-vi-barulhento
3830;Conopias parvus;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Conopias;parvus;bem-te-vi-da-copa
3785;Myiodynastes luteiventris;Sclater;1859;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiodynastes;luteiventris;bem-te-vi-de-barriga-sulfúrea
3801;Myiozetetes granadensis;Lawrence;1862;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiozetetes;granadensis;bem-te-vi-de-cabeça-cinza
3827;Conopias trivirgatus;Wied;1831;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Conopias;trivirgatus;bem-te-vi-pequeno
3737;Legatus leucophaius;Vieillot;1818;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Legatus;leucophaius;bem-te-vi-pirata
3786;Myiodynastes maculatus;Statius Muller;1776;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiodynastes;maculatus;bem-te-vi-rajado
1752;Melanerpes flavifrons;Vieillot;1818;Piciformes;;;;;Picidae;Picinae;Melanerpes;flavifrons;benedito-de-testa-amarela
1751;Melanerpes cruentatus;Boddaert;1783;Piciformes;;;;;Picidae;Picinae;Melanerpes;cruentatus;benedito-de-testa-vermelha
3795;Myiozetetes cayanensis;Linnaeus;1766;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiozetetes;cayanensis;bentevizinho-de-asa-ferrugínea
3798;Myiozetetes similis;Spix;1825;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Myiozetetes;similis;bentevizinho-de-penacho-vermelho
3779;Philohydor lictor;Lichtenstein;1823;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Philohydor;lictor;bentevizinho-do-brejo
632;Chlorostilbon lucidus;Shaw;1812;Apodiformes;;;;;Trochilidae;Trochilinae;Chlorostilbon;lucidus;besourinho-de-bico-vermelho
3094;Schoeniophylax phryganophilus;Vieillot;1817;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Schoeniophylax;phryganophilus;bichoita
3489;Tolmomyias flaviventris;Wied;1831;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Tolmomyias;flaviventris;bico-chato-amarelo
3479;Tolmomyias assimilis;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Tolmomyias;assimilis;bico-chato-da-copa
3486;Tolmomyias poliocephalus;Taczanowski;1884;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Tolmomyias;poliocephalus;bico-chato-de-cabeça-cinza
3472;Tolmomyias sulphurescens;Spix;1825;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Tolmomyias;sulphurescens;bico-chato-de-orelha-preta
3744;Ramphotrigon ruficauda;Spix;1825;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Ramphotrigon;ruficauda;bico-chato-de-rabo-vermelho
3485;Tolmomyias sucunduri;Whitney, Schunck, Rêgo & Silveira;2013;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Tolmomyias;sucunduri;bico-chato-do-sucunduri
3466;Rhynchocyclus olivaceus;Temminck;1820;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Rhynchocyclinae;Rhynchocyclus;olivaceus;bico-chato-grande
4229;Estrilda astrild;Linnaeus;1758;Passeriformes;Passeri;;Passerida;;Estrildidae;;Estrilda;astrild;bico-de-lacre
559;Doryfera johannae;Bourcier;1847;Apodiformes;;;;;Trochilidae;Polytminae;Doryfera;johannae;bico-de-lança
4648;Saltator fuliginosus;Daudin;1800;Passeriformes;Passeri;;Passerida;;Thraupidae;Saltatorinae;Saltator;fuliginosus;bico-de-pimenta
4856;Schistochlamys ruficapillus;Vieillot;1817;Passeriformes;Passeri;;Passerida;;Thraupidae;Thraupinae;Schistochlamys;ruficapillus;bico-de-veludo
4643;Saltator aurantiirostris;Vieillot;1817;Passeriformes;Passeri;;Passerida;;Thraupidae;Saltatorinae;Saltator;aurantiirostris;bico-duro
4646;Saltator grossus;Linnaeus;1766;Passeriformes;Passeri;;Passerida;;Thraupidae;Saltatorinae;Saltator;grossus;bico-encarnado
4642;Saltator maxillosus;Cabanis;1851;Passeriformes;Passeri;;Passerida;;Thraupidae;Saltatorinae;Saltator;maxillosus;bico-grosso
4511;Pheucticus ludovicianus;Linnaeus;1766;Passeriformes;Passeri;;Passerida;;Cardinalidae;;Pheucticus;ludovicianus;bico-grosso-de-peito-rosa
624;Heliomaster furcifer;Shaw;1812;Apodiformes;;;;;Trochilidae;Trochilinae;Heliomaster;furcifer;bico-reto-azul
621;Heliomaster longirostris;Audebert & Vieillot;1801;Apodiformes;;;;;Trochilidae;Trochilinae;Heliomaster;longirostris;bico-reto-cinzento
623;Heliomaster squamosus;Temminck;1823;Apodiformes;;;;;Trochilidae;Trochilinae;Heliomaster;squamosus;bico-reto-de-banda-branca
2894;Xenops rutilans;Temminck;1821;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Xenopidae;;Xenops;rutilans;bico-virado-carijó
2942;Megaxenops parnaguae;Reiser;1905;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Philydorinae;Megaxenops;parnaguae;bico-virado-da-caatinga
2904;Microxenops milleri;Chapman;1914;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Pygarrhichinae;Microxenops;milleri;bico-virado-da-copa
2883;Xenops tenuirostris;Pelzeln;1859;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Xenopidae;;Xenops;tenuirostris;bico-virado-fino
2887;Xenops minutus;Sparrman;1788;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Xenopidae;;Xenops;minutus;bico-virado-miúdo
4768;Sporophila crassirostris;Gmelin;1789;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;crassirostris;bicudinho
2212;Formicivora acutirostris;Bornschein, Reinert & Teixeira;1995;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Formicivora;acutirostris;bicudinho-do-brejo
2211;Formicivora paludicola;Buzzetti, Belmonte-Lopes, Reinert, Silveira & Bornschein;2014;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Formicivora;paludicola;bicudinho-do-brejo-paulista
4770;Sporophila maximiliani;Cabanis;1851;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;maximiliani;bicudo
4521;Periporphyrus erythromelas;Gmelin;1789;Passeriformes;Passeri;;Passerida;;Cardinalidae;;Periporphyrus;erythromelas;bicudo-encarnado
4719;Sporophila lineola;Linnaeus;1758;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;lineola;bigodinho
1162;Nannopterum brasilianum;Gmelin;1789;Suliformes;;;;;Phalacrocoracidae;;Nannopterum;brasilianum;biguá
1158;Anhinga anhinga;Linnaeus;1766;Suliformes;;;;;Anhingidae;;Anhinga;anhinga;biguatinga
3078;Spartonoica maluroides;d'Orbigny & Lafresnaye;1837;Passeriformes;Tyranni;Furnariides;Furnariida;Furnarioidea;Furnariidae;Synallaxiinae;Spartonoica;maluroides;boininha
3455;Phylloscartes beckeri;Gonzaga & Pacheco;1995;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;beckeri;borboletinha-baiana
3452;Phylloscartes ventralis;Temminck;1824;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;ventralis;borboletinha-do-mato
3456;Phylloscartes virescens;Todd;1925;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;virescens;borboletinha-guianense
2364;Mackenziaena severa;Lichtenstein;1823;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Mackenziaena;severa;borralhara
2363;Mackenziaena leachii;Such;1825;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Mackenziaena;leachii;borralhara-assobiadora
2366;Frederickena viridis;Vieillot;1816;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Frederickena;viridis;borralhara-do-norte
2367;Frederickena unduliger;Pelzeln;1868;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Frederickena;unduliger;borralhara-ondulada
615;Heliodoxa schreibersii;Bourcier;1847;Apodiformes;;;;;Trochilidae;Lesbiinae;Heliodoxa;schreibersii;brilhante-de-garganta-preta
613;Heliodoxa xanthogonys;Salvin & Godman;1882;Apodiformes;;;;;Trochilidae;Lesbiinae;Heliodoxa;xanthogonys;brilhante-veludo
3215;Pseudopipra pipra;Linnaeus;1758;Passeriformes;Tyranni;Tyrannides;Tyrannida;;Pipridae;Piprinae;Pseudopipra;pipra;cabeça-branca
3222;Ceratopipra erythrocephala;Linnaeus;1758;Passeriformes;Tyranni;Tyrannides;Tyrannida;;Pipridae;Piprinae;Ceratopipra;erythrocephala;cabeça-de-ouro
3175;Lepidothrix iris;Schinz;1851;Passeriformes;Tyranni;Tyrannides;Tyrannida;;Pipridae;Piprinae;Lepidothrix;iris;cabeça-de-prata
3225;Ceratopipra rubrocapilla;Temminck;1821;Passeriformes;Tyranni;Tyrannides;Tyrannida;;Pipridae;Piprinae;Ceratopipra;rubrocapilla;cabeça-encarnada
1135;Mycteria americana;Linnaeus;1758;Ciconiiformes;;;;;Ciconiidae;;Mycteria;americana;cabeça-seca
4780;Thlypopsis pyrrhocoma;Burns, Unitt & Mason;2016;Passeriformes;Passeri;;Passerida;;Thraupidae;Poospizinae;Thlypopsis;pyrrhocoma;cabecinha-castanha
3437;Leptopogon amaurocephalus;Tschudi;1846;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Leptopogon;amaurocephalus;cabeçudo
4753;Sporophila bouvreuil;Statius Muller;1776;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;bouvreuil;caboclinho
4754;Sporophila pileata;Sclater;1865;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;pileata;caboclinho-coroado
4764;Sporophila melanogaster;Pelzeln;1870;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;melanogaster;caboclinho-de-barriga-preta
4757;Sporophila hypoxantha;Cabanis;1851;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;hypoxantha;caboclinho-de-barriga-vermelha
4763;Sporophila cinnamomea;Lafresnaye;1839;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;cinnamomea;caboclinho-de-chapéu-cinzento
4760;Sporophila palustris;Barrows;1883;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;palustris;caboclinho-de-papo-branco
4758;Sporophila ruficollis;Cabanis;1851;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;ruficollis;caboclinho-de-papo-escuro
4761;Sporophila castaneiventris;Cabanis;1849;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;castaneiventris;caboclinho-de-peito-castanho
4762;Sporophila hypochroma;Todd;1915;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;hypochroma;caboclinho-de-sobre-ferrugem
4759;Sporophila iberaensis;Di Giacomo & Kopuchian;2016;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;iberaensis;caboclinho-do-pantanal
4752;Sporophila nigrorufa;d'Orbigny & Lafresnaye;1837;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;nigrorufa;caboclinho-do-sertão
4755;Sporophila minuta;Linnaeus;1758;Passeriformes;Passeri;;Passerida;;Thraupidae;Sporophilinae;Sporophila;minuta;caboclinho-lindo
1438;Glaucidium brasilianum;Gmelin;1788;Strigiformes;;;;;Strigidae;;Glaucidium;brasilianum;caburé
1448;Aegolius harrisii;Cassin;1849;Strigiformes;;;;;Strigidae;;Aegolius;harrisii;caburé-acanelado
1435;Glaucidium hardyi;Vielliard;1990;Strigiformes;;;;;Strigidae;;Glaucidium;hardyi;caburé-da-amazônia
1436;Glaucidium mooreorum;Silva, Coelho & Gonzaga;2002;Strigiformes;;;;;Strigidae;;Glaucidium;mooreorum;caburé-de-pernambuco
1437;Glaucidium minutissimum;Wied;1830;Strigiformes;;;;;Strigidae;;Glaucidium;minutissimum;caburé-miudinho
2049;Aratinga maculata;Statius Muller;1776;Psittaciformes;;;;;Psittacidae;Arinae;Aratinga;maculata;cacaué
3547;Myiornis ecaudatus;d'Orbigny & Lafresnaye;1837;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Todirostrinae;Myiornis;ecaudatus;caçula
1115;Calonectris edwardsii;Oustalet;1883;Procellariiformes;;;;;Procellariidae;;Calonectris;edwardsii;cagarra-de-cabo-verde
1113;Calonectris diomedea;Scopoli;1769;Procellariiformes;;;;;Procellariidae;;Calonectris;diomedea;cagarra-do-mediterrâneo
1114;Calonectris borealis;Cory;1881;Procellariiformes;;;;;Procellariidae;;Calonectris;borealis;cagarra-grande
4278;Euphonia chalybea;Mikan;1825;Passeriformes;Passeri;;Passerida;;Fringillidae;Euphoniinae;Euphonia;chalybea;cais-cais
1075;Pelagodroma marina;Latham;1790;Procellariiformes;;;;;Oceanitidae;;Pelagodroma;marina;calcamar
4034;Atticora tibialis;Cassin;1853;Passeriformes;Passeri;;Passerida;;Hirundinidae;;Atticora;tibialis;calcinha-branca
4222;Mimus triurus;Vieillot;1818;Passeriformes;Passeri;;Passerida;;Mimidae;;Mimus;triurus;calhandra-de-três-rabos
4651;Coereba flaveola;Linnaeus;1758;Passeriformes;Passeri;;Passerida;;Thraupidae;Coerebinae;Coereba;flaveola;cambacica
4925;Tangara brasiliensis;Linnaeus;1766;Passeriformes;Passeri;;Passerida;;Thraupidae;Thraupinae;Tangara;brasiliensis;cambada-de-chaves
4078;Odontorchilus cinereus;Pelzeln;1868;Passeriformes;Passeri;;Passerida;;Troglodytidae;;Odontorchilus;cinereus;cambaxirra-cinzenta
4244;Anthus hellmayri;Hartert;1909;Passeriformes;Passeri;;Passerida;;Motacillidae;;Anthus;hellmayri;caminheiro-de-barriga-acanelada
4241;Anthus correndera;Vieillot;1818;Passeriformes;Passeri;;Passerida;;Motacillidae;;Anthus;correndera;caminheiro-de-espora
4239;Anthus furcatus;d'Orbigny & Lafresnaye;1837;Passeriformes;Passeri;;Passerida;;Motacillidae;;Anthus;furcatus;caminheiro-de-unha-curta
4243;Anthus nattereri;Sclater;1878;Passeriformes;Passeri;;Passerida;;Motacillidae;;Anthus;nattereri;caminheiro-dourado
4237;Anthus chii;Vieillot;1818;Passeriformes;Passeri;;Passerida;;Motacillidae;;Anthus;chii;caminheiro-zumbidor
4573;Porphyrospiza caerulescens;Wied;1830;Passeriformes;Passeri;;Passerida;;Thraupidae;Porphyrospizinae;Porphyrospiza;caerulescens;campainha-azul
4570;Rhopospina fruticeti;Kittlitz;1833;Passeriformes;Passeri;;Passerida;;Thraupidae;Porphyrospizinae;Rhopospina;fruticeti;canário-andino-negro
4807;Sicalis flaveola;Linnaeus;1766;Passeriformes;Passeri;;Passerida;;Thraupidae;Diglossinae;Sicalis;flaveola;canário-da-terra
4811;Sicalis columbiana;Cabanis;1851;Passeriformes;Passeri;;Passerida;;Thraupidae;Diglossinae;Sicalis;columbiana;canário-do-amazonas
4567;Emberizoides ypiranganus;Ihering & Ihering;1907;Passeriformes;Passeri;;Passerida;;Thraupidae;Emberizoidinae;Emberizoides;ypiranganus;canário-do-brejo
4564;Emberizoides herbicola;Vieillot;1817;Passeriformes;Passeri;;Passerida;;Thraupidae;Emberizoidinae;Emberizoides;herbicola;canário-do-campo
4459;Myiothlypis flaveola;Baird;1865;Passeriformes;Passeri;;Passerida;;Parulidae;;Myiothlypis;flaveola;canário-do-mato
4804;Sicalis citrina;Pelzeln;1870;Passeriformes;Passeri;;Passerida;;Thraupidae;Diglossinae;Sicalis;citrina;canário-rasteiro
1870;Ibycter americanus;Boddaert;1783;Falconiformes;;;;;Falconidae;Caracarinae;Ibycter;americanus;cancão
4017;Cyanocorax hafferi;Cohn-Haft, Santos Junior, Fernandes & Ribas;2013;Passeriformes;Passeri;;Corvida;;Corvidae;;Cyanocorax;hafferi;cancão-da-campina
3394;Piprites pileata;Temminck;1822;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Pipritidae;;Piprites;pileata;caneleirinho-de-chapéu-preto
3333;Pachyramphus castaneus;Jardine & Selby;1827;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;castaneus;caneleiro
3342;Pachyramphus marginatus;Lichtenstein;1823;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;marginatus;caneleiro-bordado
3330;Pachyramphus rufus;Boddaert;1783;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;rufus;caneleiro-cinzento
3345;Pachyramphus surinamus;Linnaeus;1766;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;surinamus;caneleiro-da-guiana
3328;Pachyramphus xanthogenys;Salvadori & Festa;1898;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;xanthogenys;caneleiro-de-cara-amarela
3347;Pachyramphus validus;Lichtenstein;1823;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;validus;caneleiro-de-chapéu-preto
3771;Casiornis fuscus;Sclater & Salvin;1873;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Casiornis;fuscus;caneleiro-enxofre
3346;Pachyramphus minor;Lesson;1830;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;minor;caneleiro-pequeno
3337;Pachyramphus polychopterus;Vieillot;1818;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;polychopterus;caneleiro-preto
3325;Pachyramphus viridis;Vieillot;1816;Passeriformes;Tyranni;Tyrannides;Tyrannida;Cotingoidea;Tityridae;Tityrinae;Pachyramphus;viridis;caneleiro-verde
2508;Hypocnemis hypoxantha;Sclater;1869;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;hypoxantha;cantador-amarelo
2513;Hypocnemis cantator;Boddaert;1783;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;cantator;cantador-da-guiana
2523;Hypocnemis rondoni;Whitney, Isler, Bravo, Aristizábal, Schunck, Silveira, Piacentini, Cohn-Haft & Rêgo;2013;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;rondoni;cantador-de-rondon
2524;Hypocnemis striata;Spix;1825;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;striata;cantador-estriado
2511;Hypocnemis subflava;Cabanis;1873;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;subflava;cantador-galego
2522;Hypocnemis ochrogyna;Zimmer;1932;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;ochrogyna;cantador-ocráceo
2519;Hypocnemis peruviana;Taczanowski;1884;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;peruviana;cantador-sinaleiro
2516;Hypocnemis flavescens;Sclater;1865;Passeriformes;Tyranni;Furnariides;Thamnophilida;;Thamnophilidae;Thamnophilinae;Hypocnemis;flavescens;cantador-sulfúreo
4792;Microspingus melanoleucus;d'Orbigny & Lafresnaye;1837;Passeriformes;Passeri;;Passerida;;Thraupidae;Poospizinae;Microspingus;melanoleucus;capacetinho
4793;Microspingus cinereus;Bonaparte;1850;Passeriformes;Passeri;;Passerida;;Thraupidae;Poospizinae;Microspingus;cinereus;capacetinho-do-oco-do-pau
3724;Attila phoenicurus;Pelzeln;1868;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Attila;phoenicurus;capitão-castanho
1643;Capito niger;Statius Muller;1776;Piciformes;;;;;Capitonidae;;Capito;niger;capitão-de-bigode-carijó
1653;Eubucco richardsoni;Gray;1846;Piciformes;;;;;Capitonidae;;Eubucco;richardsoni;capitão-de-bigode-limão
1641;Capito dayi;Cherrie;1916;Piciformes;;;;;Capitonidae;;Capito;dayi;capitão-de-cinta
1657;Eubucco tucinkae;Seilern;1913;Piciformes;;;;;Capitonidae;;Eubucco;tucinkae;capitão-de-colar-amarelo
1640;Capito aurovirens;Cuvier;1829;Piciformes;;;;;Capitonidae;;Capito;aurovirens;capitão-de-coroa
1644;Capito auratus;Dumont;1816;Piciformes;;;;;Capitonidae;;Capito;auratus;capitão-de-fronte-dourada
1642;Capito brunneipectus;Chapman;1921;Piciformes;;;;;Capitonidae;;Capito;brunneipectus;capitão-de-peito-marrom
3730;Attila rufus;Vieillot;1819;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Attila;rufus;capitão-de-saíra
3733;Attila spadiceus;Gmelin;1789;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Tyrannidae;Tyranninae;Attila;spadiceus;capitão-de-saíra-amarelo
84;Coscoroba coscoroba;Molina;1782;Anseriformes;;;;;Anatidae;Anserinae;Coscoroba;coscoroba;capororoca
3459;Phylloscartes roquettei;Snethlage;1928;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;roquettei;cara-dourada
3458;Phylloscartes ceciliae;Teixeira;1987;Passeriformes;Tyranni;Tyrannides;Tyrannida;Tyrannoidea;Rhynchocyclidae;Pipromorphinae;Phylloscartes;ceciliae;cara-pintada
2012;Pyrrhura griseipectus;Salvadori;1900;Psittaciformes;;;;;Psittacidae;Arinae;Pyrrhura;griseipectus;cara-suja
2009;Pyrrhura molinae;Massena & Souancé;1854;Psittaciformes;;;;;Psittacidae;Arinae;Pyrrhura;molinae;cara-suja-do-pantanal
726;Aramus guarauna;Linnaeus;1766;Gruiformes;;;;;Aramidae;;Aramus;guarauna;carão
1234;Plegadis chihi;Vieillot;1817;Pelecaniformes;;;;;Threskiornithidae;;Plegadis;chihi;caraúna
4193;Turdus nudigenis;Lafresnaye;1848;Passeriformes;Passeri;;Passerida;;Turdidae;;Turdus;nudigenis;caraxué
4200;Turdus arthuri;Chubb;1914;Passeriformes;Passeri;;Passerida;;Turdidae;;Turdus;arthuri;caraxué-da-campina
4201;Turdus debilis;Hellmayr;1902;Passeriformes;Passeri;;Passerida;;Turdidae;;Turdus;debilis;caraxué-da-várzea
4197;Turdus lawrencii;Coues;1880;Passeriformes;Passeri;;Passerida;;Turdidae;;Turdus;lawrencii;caraxué-de-bico-amarelo
